arrival_time,event_time,updateId
1692440056205.601,1692440055544,3180676699005
1692440056243.6074,1692440055581,3180676700083
1692440056244.6106,1692440055581,3180676700102
1692440056254.1252,1692440055591,3180676700330
1692440056254.1252,1692440055591,3180676700339
1692440056255.125,1692440055591,3180676700340
1692440056261.132,1692440055599,3180676700552
1692440056262.126,1692440055599,3180676700581
1692440056262.126,1692440055599,3180676700593
1692440056483.3389,1692440055599,3180676700612
1692440056483.3389,1692440055615,3180676701024
1692440056483.3389,1692440055651,3180676701870
1692440056484.339,1692440055666,3180676702237
1692440056484.339,1692440055676,3180676702414
1692440056484.339,1692440055731,3180676703912
1692440056484.339,1692440055734,3180676704045
1692440056485.3408,1692440055775,3180676705104
1692440056485.3408,1692440055783,3180676705334
1692440056485.3408,1692440055801,3180676705943
1692440056486.339,1692440055802,3180676705957
1692440056583.6035,1692440055922,3180676709353
1692440056590.6016,1692440055929,3180676709476
1692440056813.8406,1692440056152,3180676716873
1692440056873.4587,1692440056212,3180676718794
1692440056878.463,1692440056218,3180676718949
1692440056904.8567,1692440056243,3180676719822
1692440056910.8596,1692440056249,3180676719961
1692440056921.8035,1692440056260,3180676720243
1692440056925.8037,1692440056262,3180676720304
1692440056925.8037,1692440056262,3180676720309
1692440056926.8037,1692440056262,3180676720317
1692440057045.6987,1692440056385,3180676724494
1692440057050.7876,1692440056387,3180676724570
1692440057074.3376,1692440056412,3180676725323
1692440057099.7107,1692440056438,3180676726143
1692440057108.3223,1692440056446,3180676726409
1692440057131.6072,1692440056470,3180676727220
1692440057138.4602,1692440056477,3180676727412
1692440057160.0354,1692440056497,3180676728082
1692440057163.2744,1692440056501,3180676728274
1692440057167.1016,1692440056505,3180676728493
1692440057168.1282,1692440056505,3180676728506
1692440057170.1294,1692440056505,3180676728536
1692440057170.1294,1692440056505,3180676728570
1692440057170.1294,1692440056506,3180676728661
1692440057171.1292,1692440056507,3180676728675
1692440057172.1301,1692440056507,3180676728692
1692440057175.1265,1692440056513,3180676729019
1692440057189.1401,1692440056522,3180676729389
1692440057214.9258,1692440056553,3180676730245
1692440057222.441,1692440056561,3180676730564
1692440057232.194,1692440056571,3180676730848
1692440057240.2075,1692440056578,3180676731088
1692440057241.7317,1692440056581,3180676731288
1692440057243.215,1692440056581,3180676731290
1692440057243.215,1692440056581,3180676731305
1692440057244.2207,1692440056581,3180676731309
1692440057245.2188,1692440056581,3180676731311
1692440057245.2188,1692440056582,3180676731330
1692440057328.585,1692440056588,3180676731479
1692440057328.585,1692440056590,3180676731642
1692440057329.586,1692440056598,3180676731805
1692440057329.586,1692440056654,3180676734016
1692440057474.1362,1692440056811,3180676738263
1692440057507.1514,1692440056845,3180676739242
1692440057520.1555,1692440056859,3180676739658
1692440057536.9736,1692440056875,3180676740022
1692440057558.2532,1692440056896,3180676740544
1692440057559.2524,1692440056896,3180676740566
1692440057563.3303,1692440056898,3180676740705
1692440057569.159,1692440056908,3180676740914
1692440057570.2065,1692440056908,3180676740962
1692440057621.1667,1692440056959,3180676742006
1692440057646.0059,1692440056985,3180676742601
1692440057667.0527,1692440057005,3180676743108
1692440057713.8176,1692440057053,3180676744700
1692440057741.8208,1692440057080,3180676745359
1692440057767.3367,1692440057102,3180676745825
1692440057815.3445,1692440057153,3180676747269
1692440057822.3408,1692440057161,3180676747418
1692440057889.729,1692440057228,3180676749189
1692440057897.7095,1692440057235,3180676749505
1692440057906.7097,1692440057246,3180676750030
1692440057942.8015,1692440057281,3180676751214
1692440057951.374,1692440057290,3180676751565
1692440057995.5225,1692440057332,3180676752736
1692440058018.0112,1692440057355,3180676753363
1692440058026.7893,1692440057365,3180676753614
1692440058028.2053,1692440057367,3180676753680
1692440058048.2837,1692440057387,3180676754169
1692440058064.9373,1692440057404,3180676754596
1692440058076.6284,1692440057413,3180676754917
1692440058083.6316,1692440057422,3180676755324
1692440058083.6316,1692440057422,3180676755374
1692440058093.3655,1692440057431,3180676755722
1692440058097.1575,1692440057436,3180676756298
1692440058115.3127,1692440057454,3180676757446
1692440058122.0464,1692440057460,3180676757814
1692440058148.0557,1692440057486,3180676759025
1692440058152.052,1692440057489,3180676759216
1692440058250.1477,1692440057588,3180676761914
1692440058307.7383,1692440057646,3180676763570
1692440058314.6172,1692440057653,3180676764089
1692440058351.8308,1692440057690,3180676765366
1692440058608.2815,1692440057947,3180676771852
1692440058610.8894,1692440057950,3180676771905
1692440058637.3013,1692440057974,3180676772571
1692440058645.302,1692440057984,3180676772855
1692440058646.305,1692440057984,3180676772870
1692440058681.2136,1692440058019,3180676773625
1692440058690.228,1692440058028,3180676773867
1692440058746.147,1692440058082,3180676775355
1692440058746.147,1692440058082,3180676775357
1692440058747.1458,1692440058083,3180676775380
1692440058747.1458,1692440058083,3180676775402
1692440058753.1501,1692440058090,3180676775662
1692440058755.773,1692440058094,3180676775748
1692440058761.1443,1692440058100,3180676775868
1692440058830.5002,1692440058169,3180676777819
1692440058836.6858,1692440058175,3180676777979
1692440058907.0188,1692440058245,3180676780008
1692440058914.0183,1692440058252,3180676780187
1692440058921.018,1692440058259,3180676780416
1692440058933.0205,1692440058267,3180676780635
1692440058952.0266,1692440058291,3180676781336
1692440058955.5474,1692440058293,3180676781378
1692440058990.5476,1692440058328,3180676782469
1692440059018.5518,1692440058355,3180676783146
1692440059048.5535,1692440058387,3180676783846
1692440059058.065,1692440058392,3180676783905
1692440059066.0684,1692440058403,3180676784150
1692440059071.0674,1692440058405,3180676784227
1692440059150.95,1692440058488,3180676786283
1692440059154.4534,1692440058493,3180676786434
1692440059179.8313,1692440058519,3180676787394
1692440059180.8333,1692440058519,3180676787888
1692440059180.8333,1692440058519,3180676787903
1692440059184.746,1692440058523,3180676788175
1692440059185.7485,1692440058525,3180676788278
1692440059193.4856,1692440058532,3180676788626
1692440059194.4854,1692440058532,3180676788627
1692440059350.3123,1692440058688,3180676792725
1692440059382.9219,1692440058721,3180676793392
1692440059455.745,1692440058794,3180676794789
1692440059622.6946,1692440058962,3180676798208
1692440059675.8525,1692440059014,3180676799284
1692440059683.651,1692440059022,3180676799574
1692440059685.6519,1692440059024,3180676799675
1692440059697.3562,1692440059036,3180676800038
1692440059698.3591,1692440059036,3180676800068
1692440059707.6619,1692440059046,3180676800293
1692440059707.6619,1692440059046,3180676800344
1692440059708.6626,1692440059047,3180676800415
1692440059765.1584,1692440059103,3180676801805
1692440059844.6296,1692440059183,3180676803650
1692440059845.6296,1692440059183,3180676803665
1692440059846.6304,1692440059183,3180676803666
1692440059881.5005,1692440059220,3180676804468
1692440059946.0146,1692440059284,3180676805971
1692440059946.0146,1692440059284,3180676805980
1692440060039.8115,1692440059379,3180676808438
1692440060048.8284,1692440059387,3180676809062
1692440060053.783,1692440059392,3180676809447
1692440060053.783,1692440059392,3180676809544
1692440060053.783,1692440059392,3180676809569
1692440060055.294,1692440059393,3180676809717
1692440060056.2966,1692440059393,3180676809753
1692440060057.298,1692440059393,3180676809804
1692440060058.2993,1692440059395,3180676809820
1692440060078.9407,1692440059404,3180676810315
1692440060080.3274,1692440059410,3180676810495
1692440060080.3274,1692440059410,3180676810546
1692440060142.3416,1692440059469,3180676812781
1692440060143.3398,1692440059474,3180676812944
1692440060219.859,1692440059557,3180676815188
1692440060237.8594,1692440059569,3180676815618
1692440060239.8616,1692440059569,3180676815680
1692440060241.8677,1692440059580,3180676816141
1692440060288.3877,1692440059609,3180676816778
1692440060313.3901,1692440059637,3180676817369
1692440060313.3901,1692440059637,3180676817372
1692440060313.3901,1692440059638,3180676817456
